Rank,Ticker,Company,homepages,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
41,FDX,FedEx,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing; investing; investing,Analyst Ratings; investing,Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings; investing; Long Ideas; News; Top Stories; Markets; Media; Trading Ideas,investing,,News; Earnings; Equities; Politics; Top Stories; Economics; Markets,,investing,investing,,investing,Opinion; Economics; Federal Reserve; Markets
42,HUM,Humana,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/,News; Health Care; After-Hours Center; Movers; General,,,News; Earnings; Futures; Previews; Small Cap; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Trading Ideas,Analyst Ratings,,,Analyst Ratings; investing; investing,investing; Large Cap; Macro Economic Events; Sector ETFs; News; Earnings; Equities; Government; Bonds; Contracts; Treasuries; Events; Econ #s; Top Stories; Economics; Federal Reserve; Markets; Tech; ETFs,Analyst Color; Earnings; Equities; News; Previews; Top Stories,,
43,ET,Energy Transfer,https://www.fool.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.benzinga.com/,investing; investing,Long Ideas; News; Small Cap; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,,Analyst Ratings,Long Ideas; News; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas; Long Ideas; News; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,investing; investing; investing,investing; investing; Analyst Ratings,investing; investing; News; Analyst Color; Equities; Mid Cap; Downgrades; Price Target; Markets; Analyst Ratings; Trading Ideas,investing; investing,investing,investing,investing; investing; investing
46,PEP,PepsiCo,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing; investing; Cryptocurrency; Top Stories; Markets; investing,investing; investing,Sector ETFs; Cryptocurrency; Specialty ETFs; New ETFs; Top Stories; Markets; Tech; ETFs,,investing; investing,investing; investing,investing; investing,News; Large Cap; Mid Cap; Top Stories; Economics; Exclusives; Markets; Trading Ideas; Interview; General,investing; investing,,,
47,WFC,Wells Fargo,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing; investing,investing; investing; investing,investing,investing; investing,investing,investing; News; Earnings; Equities; Futures; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Movers; Trading Ideas,News; Analyst Color; Economics; Federal Reserve; investing; Long Ideas; News; Small Cap; Top Stories; Markets; Media; Trading Ideas,investing,,investing; investing,News; Analyst Color; Equities; Regulations; Fintech; Markets; Tech; General,investing; Long Ideas; Sector ETFs; Analyst Color; Equities; Large Cap; Broad U.S. Equity ETFs; Top Stories; Trading Ideas; ETFs
48,DIS,Walt Disney,https://www.fool.com/ https://www.zacks.com/ https://www.benzinga.com/ https://www.marketwatch.com/,investing; investing; investing; investing,investing; investing; investing; investing,News; Government; Entertainment; Politics; Global; Top Stories; General; News; Analyst Color; Entertainment; Reiteration; Analyst Ratings; Tech; General,News; Sports Betting; Sports; General; investing; investing; investing,News; Analyst Color; Price Target; Reiteration; Analyst Ratings; Trading Ideas; investing; investing; News; Price Target; Small Cap; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas,investing; Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings; investing; News; Analyst Color; Entertainment; Downgrades; Top Stories; Analyst Ratings; Movers; Trading Ideas,investing; investing; investing; investing,investing; News; Entertainment; Sports; Tech; Media; General; investing; investing,investing; investing; investing,Analyst Color; Sports Betting; Price Target; Reiteration; Sports; Top Stories; Analyst Ratings; Trading Ideas; News; Top Stories; Markets; General; investing,,investing
49,COP,ConocoPhillips,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,investing; News; Analyst Color; Mid Cap; Downgrades; Price Target; Commodities; Topics; Top Stories; Markets; Analyst Ratings; Trading Ideas; General,,investing,,Analyst Ratings; investing,,Analyst Ratings,,,investing,News; Analyst Color; Equities; Large Cap; Top Stories; Markets; Analyst Ratings; General,
50,TSLA,Tesla,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,investing,News; Movers & Shakers; Management; Top Stories; General; investing; investing,News; Entertainment; Global; General; News; Large Cap; Top Stories; Tech,News; Analyst Color; Downgrades; Price Target; Reiteration; Top Stories; Analyst Ratings; Movers; Tech; Trading Ideas; investing,,investing; Broad U.S. Equity ETFs; Previews; Top Stories; Economics; Federal Reserve; ETFs; investing,investing; investing; investing; investing,Penny Stocks; Top Stories; Exclusives; Tech; Trading Ideas; Interview; News; Specialty ETFs; Management; Top Stories; Success Stories; Tech; Media; ETFs; Cryptocurrency; Eurozone; Economics; Markets,News; Government; Legal; Movers; Asia; Economics; Markets; Tech; investing,Cryptocurrency; Asia; Economics; Federal Reserve; Markets; Tech,News; Penny Stocks; Top Stories; Equities; Macro Economic Events; Broad U.S. Equity ETFs; Bonds; New ETFs; Treasuries; Top Stories; Economics; Federal Reserve; ETFs,News; Equities; Cryptocurrency; Fintech; Broad U.S. Equity ETFs; Specialty ETFs; Top Stories; Markets; ETFs; General; News; Analyst Color; Top Stories; Tech
51,PG,Procter & Gamble,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/,News; Analyst Color; Earnings; Upgrades; Price Target; Analyst Ratings; General; investing; investing; investing,investing; investing,investing; investing; Hedge Funds; Top Stories; Economics; Federal Reserve; General; investing,investing; investing,investing; investing; investing,investing; investing,News; Penny Stocks; Macro Economic Events; Economics; Federal Reserve; Markets; investing,investing,investing; investing,investing; investing; investing,investing; News; Price Target; Markets; Analyst Ratings; Trading Ideas,investing
52,GE,General Electric,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,News; Earnings; Futures; Previews; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Tech; Trading Ideas; investing; investing; investing,investing,,,investing,investing,investing,,Analyst Ratings; Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings,Analyst Color; Earnings; Equities; News; Previews; Top Stories; News; Earnings; Price Target; Intraday Update; Markets; Analyst Ratings; Trading Ideas,investing; Long Ideas; News; Markets; Media; Trading Ideas,News; Price Target; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas; News; Penny Stocks; Price Target; Small Cap; Markets; Analyst Ratings; Trading Ideas
53,ACI,Albertsons,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing,,Analyst Ratings,Analyst Ratings; Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings,investing,investing,,investing,investing; investing,investing; News; Analyst Color; Large Cap; Broad U.S. Equity ETFs; Bonds; Economics; Markets; Analyst Ratings; ETFs,Long Ideas; News; Penny Stocks; Markets; Trading Ideas,News; Equities; Markets; Analyst Ratings; Trading Ideas; General; Long Ideas; News; M&A; Penny Stocks; Top Stories; Markets; Media; Trading Ideas; investing
54,MET,MetLife,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/,investing,,,,,,,,,,Analyst Ratings,Analyst Ratings
55,GS,Goldman Sachs Group,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing,investing; investing,Long Ideas; News; Markets; Media; Trading Ideas,investing; investing,,investing; News; Earnings; Equities; Futures; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Movers; Trading Ideas,News; Analyst Color; Economics; Federal Reserve; News; Earnings; Equities; Earnings Beats; Broad U.S. Equity ETFs; Futures; Commodities; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Movers; Trading Ideas; investing,,investing; News; Economics; Analyst Ratings; Media; General,investing,News; Analyst Color; Equities; Regulations; Fintech; Markets; Tech; General,investing; investing
56,SYY,Sysco,https://www.marketwatch.com/ https://www.globenewswire.com https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/,,Dividend Reports and Estimates; Calendar of Events; Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings,Analyst Ratings; Analyst Ratings,Dividend Reports and Estimates,Analyst Ratings; Earnings Releases and Operating Results,Analyst Ratings,investing,Dividend Reports and Estimates,Calendar of Events; Contests/Awards; Other News; Other News,Product / Services Announcement,Dividend Reports and Estimates,Management statements
57,RTX,Raytheon Technologies,https://www.marketwatch.com/ https://www.globenewswire.com https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,investing; Annual Meetings & Shareholder Rights; European Regulatory News; Annual Meetings & Shareholder Rights; European Regulatory News,News; Small Cap; Top Stories; Markets; Media; Trading Ideas; investing,,Directors and Officers; European Regulatory News; Directors and Officers; European Regulatory News,investing,investing; investing,investing; News; Penny Stocks; Pre-Market Outlook; Markets; Movers; Trading Ideas,Earnings Releases and Operating Results; European Regulatory News; Earnings Releases and Operating Results; European Regulatory News,,Sector ETFs; Government; Politics; Global; ETFs; General; investing,investing,News; M&A; Equities; SPACE; Broad U.S. Equity ETFs; IPOs; Markets; Tech; ETFs; General; investing
58,BA,Boeing,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,Analyst Ratings; investing; investing,News; Pre-Market Outlook; Markets; Trading Ideas,,Analyst Ratings; News; Macro Economic Events; Economics; Markets; General,investing,,investing; investing; investing,Long Ideas; News; Markets; Media; Trading Ideas; investing,Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings; Long Ideas; News; Small Cap; Top Stories; Markets; Media; Trading Ideas,Sector ETFs; Government; Politics; Global; ETFs; General; Long Ideas; News; Penny Stocks; Small Cap; Markets; Media; Trading Ideas; investing,Long Ideas; News; Top Stories; Markets; Media; Trading Ideas; Long Ideas; News; Top Stories; Markets; Media; Trading Ideas,News; M&A; Equities; SPACE; Broad U.S. Equity ETFs; IPOs; Markets; Tech; ETFs; General
59,SNEX,StoneX Group,https://www.marketwatch.com/ https://www.globenewswire.com https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/,,,,Conference Calls/ Webcasts,,,Calendar of Events; Conference Calls/ Webcasts,Earnings Releases and Operating Results,,,Earnings Releases and Operating Results,Product / Services Announcement
60,LMT,Lockheed Martin,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/,Analyst Ratings; Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings,News; Education; Politics; Global; Top Stories; General,,,investing; investing,investing; Long Ideas; News; Markets; Media; Trading Ideas,investing; investing; News; Analyst Color; Penny Stocks; Equities; Price Target; Initiation; Markets; Analyst Ratings; Trading Ideas; General,,Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings,Sector ETFs; Government; Politics; Global; ETFs; General; investing,investing,News; M&A; Equities; SPACE; Broad U.S. Equity ETFs; IPOs; Markets; Tech; ETFs; General
61,MS,Morgan Stanley,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing; News; Short Ideas; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas; investing,,investing; investing; investing,investing; investing; investing,,investing; investing; Long Ideas; Sector ETFs; News; Analyst Color; Large Cap; Mid Cap; Dividends; Specialty ETFs; Emerging Market ETFs; Global; Markets; Trading Ideas; ETFs; General; investing,News; Analyst Color; Economics; Federal Reserve; investing; investing,,investing; investing,,investing,Long Ideas; News; Price Target; Markets; Analyst Ratings; Trading Ideas
62,INTC,Intel,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,News; Analyst Color; Price Target; Reiteration; Analyst Ratings; Tech; investing; investing,investing; investing; investing,investing; investing; Earnings; Penny Stocks; Futures; Previews; Small Cap; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Trading Ideas; investing,investing; News; Earnings; After-Hours Center; Movers; Trading Ideas,investing,investing,investing; investing,investing; investing; investing,investing; investing,News; Price Target; Reiteration; Analyst Ratings; Tech; Trading Ideas; investing; investing; investing,investing; investing; News; Equities; Currency ETFs; Forex; Top Stories; Economics; Markets; ETFs; General,Equities; Large Cap; Broad U.S. Equity ETFs; Top Stories; Markets; Tech; ETFs; investing; investing; News; Analyst Ratings; Tech; Media
